,Title,Year,Duration,Genre,Rating
91,Enchanted,2007,107 min,"Animation, Adventure, Comedy",7.1
92,True Grit,2010,110 min,"Drama, Western",7.6
93,A.I. Artificial Intelligence,2001,146 min,"Drama, Sci-Fi",7.2
94,3:10 to Yuma,2007,122 min,"Action, Crime, Drama",7.7
95,The Passion of the Christ,2004,127 min,Drama,7.2
96,Pearl Harbor,2001,183 min,"Action, Drama, History",6.2
97,Ice Age,2002,81 min,"Animation, Adventure, Comedy",7.5
98,The Master,2012,138 min,Drama,7.1
99,Treasure Planet,2002,95 min,"Animation, Adventure, Family",7.1
100,Midnight in Paris,2011,94 min,"Comedy, Fantasy, Romance",7.7
101,The Emperor's New Groove,2000,78 min,"Animation, Adventure, Comedy",7.4
102,Master and Commander: The Far Side of the World,2003,138 min,"Action, Adventure, Drama",7.4
103,Lilo & Stitch,2002,85 min,"Animation, Adventure, Comedy",7.3
104,Chicago,2002,113 min,"Comedy, Crime, Musical",7.2
105,Shrek 2,2004,93 min,"Animation, Adventure, Comedy",7.3
106,Revolutionary Road,2008,119 min,"Drama, Romance",7.3
107,Sexy Beast,2000,89 min,"Crime, Drama, Thriller",7.3
108,Little Children,2006,137 min,"Drama, Romance",7.5
109,The Hurt Locker,2008,131 min,"Drama, Thriller, War",7.5
110,Animal Kingdom,2010,113 min,"Crime, Drama",7.3
111,Gone Baby Gone,2007,114 min,"Crime, Drama, Mystery",7.6
112,War of the Worlds,2005,116 min,"Action, Adventure, Sci-Fi",6.5
113,Moonrise Kingdom,2012,94 min,"Comedy, Drama, Romance",7.8
114,Meet the Parents,2000,108 min,"Comedy, Romance",7.0
115,Erin Brockovich,2000,131 min,"Biography, Drama",7.4
116,Up in the Air, 2009,109 min,"Comedy, Drama, Romance",7.4
117,"O Brother, Where Art Thou?",2000,107 min,"Adventure, Comedy, Crime",7.7
118,Monster's Ball,2001,111 min,"Drama, Romance",7.1
119,Traffic,2000,147 min,"Crime, Drama, Thriller",7.6
120,Munich,2005,164 min,"Action, Drama, History",7.5
121,The Aviator,2004,170 min,"Biography, Drama",7.5
122,Sideways,2004,127 min,"Comedy, Drama, Romance",7.5
123,Transformers: Revenge of the Fallen,2009,149 min,"Action, Adventure, Sci-Fi",5.9
124,Michael Clayton,2007,119 min,"Crime, Drama, Mystery",7.2
